Country,Time,Value
United Kingdom,2001,25.6
United Kingdom,2002,24.4
United Kingdom,2003,24.1
United Kingdom,2004,23.4
United Kingdom,2005,22.1
United Kingdom,2006,21.7
United Kingdom,2007,21.6
United Kingdom,2008,21.9
United Kingdom,2009,20.7
United Kingdom,2010,19.2
United Kingdom,2011,18.2
United Kingdom,2012,17.8
United States,2000,23.1
United States,2001,23.6
United States,2002,22.1
United States,2003,20.6
United States,2004,19.6
United States,2005,19
United States,2006,19.2
United States,2007,19.8
United States,2008,20
United States,2009,19.8
United States,2010,18.8
United States,2011,17.8
United States,2012,19.1
Chile,2011,16
Israel,2001,28.1
Israel,2002,24.5
Israel,2003,24.6
Israel,2004,25.5
Israel,2005,22.4
Israel,2006,22
Israel,2007,21.2
Israel,2008,22
Israel,2009,20.3
Israel,2010,20.7
Israel,2011,21.8
Czech Republic,2010,15.9
France,2010,14.1
Greece,2009,9.6
Iceland,2009,16
Iceland,2010,14.3
Luxembourg,2002,15.5
Luxembourg,2010,6.5
Netherlands,2006,18.3
Netherlands,2010,20.5
Poland,2009,10.1
Portugal,2009,13.8
Turkey,2010,20.1
Chile,2006,4
Chile,2009,9.1
Estonia,2002,24
Estonia,2006,28.1
Estonia,2010,26.6
Slovenia,2010,11.6
New Zealand,2013,5.6
Greece,2012,6.9
Finland,2013,20.2
Portugal,2013,16.7
United Kingdom,2013,17.5
Belgium,2013,5.9
France,2012,13.7
Italy,2012,11.1
Portugal,2012,16.3
Canada,2013,19.3
Ireland,2013,12.8
Greece,2013,11.3
Mexico,2005,16.7
Mexico,2008,22.2
Poland,2004,10.6
Switzerland,2012,16.5
Poland,2001,14.3
Mexico,2011,10
Germany,2012,13.8
Austria,2012,18.2
Germany,2013,13.4
Poland,2000,15.9
Belgium,2012,6.4
Korea,2013,36.6
Sweden,2012,15.1
Poland,2002,11.3
France,2011,14
Spain,2012,8.6
Mexico,2012,13.6
Denmark,2012,7
Mexico,2013,15.4
Mexico,2010,11.6
Denmark,2013,6.8
Iceland,2013,14.5
Finland,2012,18.7
Mexico,2007,12.5
Hungary,2013,8.7
Chile,2013,16.7
Austria,2013,18.1
Poland,2003,11
Japan,2013,26.6
Norway,2013,7
Poland,2012,10.6
Ireland,2012,8.3
Australia,2013,18
United States,2013,17.9
Slovak Republic,2013,14.1
Mexico,2009,16.7
Czech Republic,2013,15.5
Mexico,2006,18.6
United Kingdom,2014,17.4
Latvia,2002,19.2
Canada,2014,19.2
Lithuania,2010,7
Lithuania,2002,13.1
Latvia,2010,13.3
United States,2014,17.5
Hungary,2014,3.8
Mexico,2014,18.3
Latvia,2006,8.1
Slovak Republic,2014,14.4
Korea,2014,36.7
Lithuania,2006,14.2
Czech Republic,2014,16.1
Norway,2014,6.3
